"","date","store_46673..ounces.","store_4904..ounces.","store_12631..ounces.","store_20974..ounces."
"1",2025-06-16,160,359,268,248
"2",2025-06-17,173,348,279,273
"3",2025-06-18,165,309,318,312
"4",2025-06-19,101,212,309,197
"5",2025-06-20,77,213,241,184
"6",2025-06-21,170,337,270,187
"7",2025-06-22,176,337,250,246
"8",2025-06-23,160,359,271,241
"9",2025-06-24,173,348,282,269
"10",2025-06-25,165,309,321,311
"11",2025-06-26,101,212,312,193
"12",2025-06-27,77,213,244,189
"13",2025-06-28,170,337,273,191
"14",2025-06-29,176,337,253,249
