,date,store_46673 (ounces),store_4904 (ounces),store_12631 (ounces),store_20974 (ounces)
0,05/03/2015,152.0,0.0,232.0,0.0
1,06/03/2015,100.0,0.0,227.0,4.0
2,07/03/2015,54.0,0.0,181.0,0.0
3,08/03/2015,199.0,0.0,221.0,0.0
4,09/03/2015,166.0,0.0,229.0,0.0
5,10/03/2015,143.0,0.0,237.0,0.0
6,11/03/2015,162.0,0.0,235.0,0.0
7,12/03/2015,116.0,0.0,244.0,0.0
8,13/03/2015,136.0,176.0,218.0,29.0
9,14/03/2015,68.0,182.0,205.0,0.0
10,15/03/2015,176.0,347.0,248.0,0.0
11,16/03/2015,181.0,400.0,153.0,6.0
12,17/03/2015,120.0,406.0,222.0,8.0
13,18/03/2015,141.0,382.0,262.0,4.0
14,19/03/2015,205.0,324.0,259.0,0.0
15,20/03/2015,118.0,192.0,274.0,164.0
16,21/03/2015,62.0,274.0,250.0,112.0
17,22/03/2015,152.0,370.0,209.0,168.0
18,23/03/2015,135.0,332.0,202.0,222.0
19,24/03/2015,180.0,390.0,207.0,222.0
20,25/03/2015,172.0,384.0,251.0,194.0
21,26/03/2015,180.0,377.0,256.0,172.0
22,27/03/2015,82.0,232.0,246.0,158.0
23,28/03/2015,96.0,219.0,251.0,142.0
24,29/03/2015,193.0,376.0,214.0,238.0
25,30/03/2015,209.0,360.0,218.0,282.0
26,31/03/2015,146.0,422.0,245.0,276.0
27,01/04/2015,189.0,448.0,268.0,250.0
28,02/04/2015,170.0,332.0,236.0,184.0
29,03/04/2015,94.0,312.0,352.0,212.0
30,04/04/2015,67.0,235.0,190.0,16.0
31,05/04/2015,182.0,402.0,280.0,235.0
32,06/04/2015,201.0,406.0,232.0,181.0
33,07/04/2015,186.0,436.0,243.0,201.0
34,08/04/2015,223.0,449.0,217.0,232.0
35,09/04/2015,187.0,378.0,309.0,258.0
36,10/04/2015,96.0,270.0,354.0,237.0
37,11/04/2015,70.0,298.0,212.0,241.0
38,12/04/2015,156.0,354.0,264.0,268.0
39,13/04/2015,220.0,426.0,252.0,236.0
40,14/04/2015,214.0,400.0,251.0,232.0
41,15/04/2015,160.0,400.0,306.0,335.0
42,16/04/2015,180.0,370.0,291.0,238.0
43,17/04/2015,114.0,320.0,328.0,278.0
44,18/04/2015,76.0,210.0,221.0,259.0
45,19/04/2015,194.0,342.0,199.0,211.0
46,20/04/2015,176.0,384.0,249.0,260.0
47,21/04/2015,141.0,410.0,241.0,248.0
48,22/04/2015,194.0,410.0,265.0,220.0
49,23/04/2015,153.0,380.0,279.0,296.0
50,24/04/2015,102.0,253.0,313.0,286.0
51,25/04/2015,128.0,254.0,233.0,173.0
52,26/04/2015,193.0,426.0,324.0,234.0
53,27/04/2015,185.0,428.0,354.0,283.0
54,28/04/2015,173.0,378.0,324.0,283.0
55,29/04/2015,169.0,412.0,307.0,293.0
56,30/04/2015,171.0,364.0,316.0,227.0
57,01/05/2015,95.0,262.0,324.0,198.0
58,02/05/2015,80.0,196.0,203.0,158.0
59,03/05/2015,137.0,376.0,369.0,313.0
60,04/05/2015,147.0,402.0,246.0,232.0
61,05/05/2015,163.0,360.0,267.0,250.0
62,06/05/2015,183.0,362.0,256.0,252.0
63,07/05/2015,165.0,322.0,313.0,277.0
64,08/05/2015,78.0,218.0,277.0,192.0
65,09/05/2015,88.0,231.0,257.0,118.0
66,10/05/2015,169.0,434.0,264.0,264.0
67,11/05/2015,172.0,356.0,238.0,247.0
68,12/05/2015,169.0,426.0,259.0,198.0
69,13/05/2015,190.0,360.0,361.0,230.0
70,14/05/2015,123.0,341.0,316.0,258.0
71,15/05/2015,76.0,226.0,263.0,186.0
72,16/05/2015,50.0,332.0,233.0,194.0
73,17/05/2015,147.0,300.0,256.0,204.0
74,18/05/2015,126.0,320.0,220.0,222.0
75,19/05/2015,159.0,322.0,258.0,218.0
76,20/05/2015,172.0,290.0,237.0,242.0
77,21/05/2015,162.0,298.0,350.0,203.0
78,22/05/2015,92.0,162.0,271.0,154.0
79,23/05/2015,79.0,264.0,194.0,112.0
80,24/05/2015,99.0,168.0,244.0,130.0
81,25/05/2015,125.0,284.0,289.0,243.0
82,26/05/2015,171.0,334.0,253.0,264.0
83,27/05/2015,182.0,370.0,318.0,263.0
84,28/05/2015,185.0,270.0,371.0,222.0
85,29/05/2015,98.0,258.0,351.0,206.0
86,30/05/2015,50.0,206.0,279.0,128.0
87,31/05/2015,151.0,436.0,236.0,172.0
88,01/06/2015,188.0,362.0,204.0,198.0
89,02/06/2015,148.0,374.0,252.0,228.0
90,03/06/2015,165.0,318.0,241.0,249.0
91,04/06/2015,167.0,330.0,279.0,219.0
92,05/06/2015,96.0,251.0,232.0,185.0
93,06/06/2015,86.0,230.0,245.0,161.0
94,07/06/2015,244.0,416.0,282.0,200.0
95,08/06/2015,173.0,318.0,230.0,224.0
96,09/06/2015,127.0,352.0,294.0,210.0
97,10/06/2015,124.0,298.0,235.0,256.0
98,11/06/2015,151.0,256.0,376.0,386.0
99,12/06/2015,134.0,223.0,366.0,170.0
100,13/06/2015,96.0,216.0,229.0,206.0
101,14/06/2015,138.0,350.0,234.0,167.0
102,15/06/2015,244.0,338.0,232.0,266.0
